word,root word,count in book,meaning,first_ref,refs,rarity word,rarity,rarity count
mujaheddin,,37,,19454,"[(19454, 'A mujaheddin fighter once told me that fate gives all of us three teachers, three friends, three enemies, and three great loves in our lives.'), (20044, 'If we pass through the heavily armed clans who would like to take what we have, we will deliver our goods to a unit of mujaheddin fighters who are putting siege to Kandahar city.'), (20403, 'We were setting out with him to commit a score of crimes across three international boundaries, and to interfere in a war between Afghanistan’s mujaheddin freedom fighters and the mighty Goliath of the Soviet Union.'), (20483, 'The heavy winter clothing, after a journey of thousands of kilometres through Germany, Austria, Hungary, Romania, Bulgaria, Turkey, Iran, and Pakistan, never reached the fighting men of the mujaheddin in the snowdraped mountains of Afghanistan.'), (20704, 'They should want us to smuggle stuff to the mujaheddin.')]",,18.08435958873094,26
charras,,31,"The gum resin of the hemp plant (Cannabis sativa). Same as Churrus. Balfour.

""churrus"": A powerfully narcotic and intoxicating gum resin which exudes from the flower heads, seeds, etc., of Indian hemp.",412,"[(412, '‘Just it happens I have it one tola, ten grams, the best Afghan charras, in my pocket.'), (461, '‘Is good charras, yes?’'), (502, 'I say that this very best charras is one hundred rupees, not two.’'), (911, 'But now, Linbaba, with this money from selling your good present to Mr. Sanjay, I can buy two bottles of very bad and nicely cheap Indian whisky, to enjoy, and plenty of money left for one nice new shirt, red colour, one tola of good charras, tickets for enjoying air condition Hindi picture, and two days of foods.'), (972, '‘Well, now I am telling … that tola charras, the one I was selling to you in hotel …’')]",,18.81524709727373,10
gora,,28,,2444,"[(2444, '‘He says you are the first gora he ever met who can speak Marathi …'), (3369, '‘Gora kaun hain?’ the driver asked, when we climbed aboard the step.'), (5648, 'As we got out of the car I heard the cop say loudly, The gora speaks Hindi?'), (6320, '‘I have brought the gora to meet you.'), (10834, 'Perhaps the strangeness of the situation—a white man, a gora, pleading in Hindi for the lives of two black men—held them back from murder.')]",,16.292600119502886,161
chillum,,24,,4600,"[(4600, 'He prepared the chillum, rocking from side to side and smiling absently.'), (4605, 'He finished preparing the chillum, and looked up at me.'), (4611, 'Then he held the chillum to his mouth, in the funnel of his hand, puffed it alight, and offered it to me.'), (5514, '‘Chillum bono,’ Khaderbhai said to Abdullah.'), (5515, 'Make a chillum.')]",,18.384464181181276,19
beedie,,16,,3522,"[(3522, 'Smoking a beedie cigarette and sitting on the ox-bow yoke, his legs dangling free, was Prabaker’s father.'), (7909, 'She threw the finished beedie away, and took a step towards me.'), (8313, 'Karla fidgeted, tossed her beedie cigarette out of the open window, and rifled through the contents of her patent-leather shoulder bag.'), (10549, 'I lay back, in a darkness that smelt of incense and beedie cigarettes and cheap kerosene, and I sifted the events of the last few days through a sieve of doubt and suspicion.'), (11086, 'Prabaker went to buy three beedie cigarettes from Kumar’s shop counter, and lit them with the same match, holding them in one hand and burning the ends with the other.')]",,18.20214262438732,23
singlet,,15,"An unlined or undyed waistcoat; a single garment; -- opposed to doublet. [Prov. Eng.]

""doublet"": 1. Two of the same kind; a pair; a couple. 2. (Print.)  A word or words unintentionally doubled or set up a second time. 3. A close-fitting garment for men, covering the body from the neck to the waist or a little below. It was worn in Western Europe from the 15th to the 17th century. 4. (Lapidary Work)  A counterfeit gem, composed of two pieces of crystal, with a color them, and thus giving the appearance of a naturally colored gem. Also, a piece of paste or glass covered by a veneer of real stone. 5. (Opt.)  An arrangement of two lenses for a microscope, designed to correct spherical aberration and chromatic dispersion, thus rendering the image of an object more clear and distinct. W. H. Wollaston. 6. pl. (See No. 1.)  Two dice, each of which, when thrown, has the same number of spots on the face lying uppermost; as, to throw doublets. 7. pl. Etym: [Cf. Pr. doblier, dobler draughtboard.]  A game somewhat like backgammon. Halliwell. 8. One of two or more words in the same language derived by different courses from the same original from; as, crypt and grot are doublets; also, guard and ward; yard and garden; abridge and abbreviate, etc.",3286,"[(3286, 'He lifted his shirt and singlet to display what was indeed a rough scratch and gathering bruise.'), (9297, 'He was wearing Puma sneakers, jeans, and a basketball singlet with the number 23 printed on the front.'), (11019, 'Appraising it with a suspicious squint, he slapped at the crate with a filthy rag and then tucked the cloth into his singlet.'), (11890, 'He wore a black singlet under the shirt, and the black hat was still hanging at his back.'), (12416, 'There, the rich men, like the rest of us, packed their nostrils with strips of cloth torn from a shirt or singlet, and clamped a lit beedie cigarette between their teeth to fight the smell.')]",,17.691317000621332,39
goondas,,13,,5612,"[(5612, 'He has goondas, and those gangsters have made threats, and even done some beatings.'), (13418, '‘One of Khaderbhai’s goondas beat up a rich kid at a nightclub,’ he began, handing me a drink.'), (13632, 'His team of Indian goondas and Iranian veterans of the war with Iraq ensured that irregularities were rare, and ruthlessly punished.'), (20983, '‘Local goondas,’ I laughed.'), (20984, '‘Goondas,’ he repeated, laughing with me.')]",,17.796677516279157,27
matka,,10,,4080,"[(4080, 'One hundred and twelve numbers—one for every man in the village—were written on small pieces of paper, and mixed together in an empty clay water-pot, called a matka.'), (5412, 'On the sea wall, I felt the cool breeze wash across the skin of my face and chest like water poured from a clay matka.'), (7345, 'The water was stored in an earthenware matka.'), (11002, 'I stripped off my torn, bloody shirt, and poured a third of a bucket of clean water from the clay matka.'), (11372, 'I told him to throw out the water in his matka, wash it out thoroughly, and get fresh water.')]",,18.489824696839104,17
baksheesh,,10,"Same as Backsheesh.

""backsheesh"": In Egypt and the Turkish empire, a gratuity; a ""tip"".",592,"[(592, 'This place is so good, they only have to pay the police half of usual baksheesh money.'), (1513, 'To baksheesh!’'), (2454, '‘Baksheesh, Lin.'), (5363, 'And, of course, anyone who could pay baksheesh was safe.'), (5702, 'Now they see such big baksheesh, more than a policeman like him is getting, and they will respect him a little.')]",,17.742610295008884,37
lungi,,10,,3651,"[(3651, 'Under the indigo banner of early-evening sky, on the scratch of track between fields of undulant maize and millet, we spread out the colours of India, the yellows and reds and peacock blues of shirts and lungi wraps and saris.'), (3783, 'After the final rinse, and a quick dry off with the towel, he taught me how to tie a lungi around the wet shorts.'), (3784, 'The lungi was a sarong-like rectangle of cotton, worn from waist to ankle.'), (3785, 'He gathered two long ends or corners of the lungi at the front, and then passed them around my waist, and rolled them under the top edge, in the small of my back.'), (3786, 'Within the encircling lungi, I removed and discarded my wet shorts and slipped on a dry pair of shorts underneath.')]",,16.688848572506124,108
